Datetime;Price;Year;Month;Day;Hour;WindSpeed;Temperature
2021-10-29 22:00:00+00:00;1.215;2021;10;29;22;8.7;9.5
2021-10-29 23:00:00+00:00;1.281;2021;10;29;23;7.7;9.5
2021-10-30 00:00:00+00:00;1.189;2021;10;30;0;6.8;9.6
2021-10-30 01:00:00+00:00;1.197;2021;10;30;1;5.2;9.5
2021-10-30 02:00:00+00:00;1.229;2021;10;30;2;6.0;9.4
2021-10-30 03:00:00+00:00;1.278;2021;10;30;3;5.5;9.3
2021-10-30 04:00:00+00:00;1.113;2021;10;30;4;4.6;9.3
2021-10-30 05:00:00+00:00;1.141;2021;10;30;5;5.2;9.1
2021-10-30 06:00:00+00:00;1.327;2021;10;30;6;5.5;9.0
2021-10-30 07:00:00+00:00;1.707;2021;10;30;7;6.6;8.9
2021-10-30 08:00:00+00:00;1.613;2021;10;30;8;7.9;9.0
2021-10-30 09:00:00+00:00;1.73;2021;10;30;9;7.9;9.0
2021-10-30 10:00:00+00:00;1.703;2021;10;30;10;8.1;8.8
2021-10-30 11:00:00+00:00;2.059;2021;10;30;11;6.3;8.5
2021-10-30 12:00:00+00:00;1.957;2021;10;30;12;7.1;8.8
2021-10-30 13:00:00+00:00;2.102;2021;10;30;13;7.3;8.7
2021-10-30 14:00:00+00:00;2.293;2021;10;30;14;6.3;8.3
2021-10-30 15:00:00+00:00;4.423;2021;10;30;15;8.6;8.0
2021-10-30 16:00:00+00:00;3.558;2021;10;30;16;9.0;8.2
2021-10-30 17:00:00+00:00;2.155;2021;10;30;17;7.5;9.3
2021-10-30 18:00:00+00:00;1.691;2021;10;30;18;8.9;9.2
2021-10-30 19:00:00+00:00;2.281;2021;10;30;19;11.7;9.1
2021-10-30 20:00:00+00:00;6.006;2021;10;30;20;12.4;9.2
2021-10-30 21:00:00+00:00;2.026;2021;10;30;21;12.9;9.3
2021-10-30 22:00:00+00:00;2.601;2021;10;30;22;11.7;9.3
2021-10-30 23:00:00+00:00;4.981;2021;10;30;23;11.2;9.2
2021-10-31 00:00:00+00:00;6.006;2021;10;31;0;11.1;9.2
2021-10-31 01:00:00+00:00;6.003;2021;10;31;1;10.0;9.2
2021-10-31 02:00:00+00:00;5.711;2021;10;31;2;8.8;8.5
2021-10-31 03:00:00+00:00;5.865;2021;10;31;3;7.4;8.2
2021-10-31 04:00:00+00:00;5.6;2021;10;31;4;6.7;7.9
2021-10-31 05:00:00+00:00;5.473;2021;10;31;5;7.1;7.6
2021-10-31 06:00:00+00:00;6.024;2021;10;31;6;5.6;7.5
2021-10-31 07:00:00+00:00;4.38;2021;10;31;7;4.3;7.5
2021-10-31 08:00:00+00:00;6.999;2021;10;31;8;4.3;8.1
2021-10-31 09:00:00+00:00;6.499;2021;10;31;9;3.0;8.0
2021-10-31 10:00:00+00:00;6.491;2021;10;31;10;1.8;8.4
2021-10-31 11:00:00+00:00;6.166;2021;10;31;11;1.8;8.6
2021-10-31 12:00:00+00:00;5.612;2021;10;31;12;2.3;9.0
2021-10-31 13:00:00+00:00;5.615;2021;10;31;13;1.8;9.1
2021-10-31 14:00:00+00:00;6.3100000000000005;2021;10;31;14;4.0;9.2
2021-10-31 15:00:00+00:00;6.992;2021;10;31;15;4.3;9.2
2021-10-31 16:00:00+00:00;7.912999999999999;2021;10;31;16;6.0;9.8
2021-10-31 17:00:00+00:00;7.454000000000001;2021;10;31;17;4.9;9.8
2021-10-31 18:00:00+00:00;6.006;2021;10;31;18;5.5;9.8
2021-10-31 19:00:00+00:00;3.625;2021;10;31;19;5.2;9.7
2021-10-31 20:00:00+00:00;1.795;2021;10;31;20;5.0;9.7
2021-10-31 21:00:00+00:00;1.654;2021;10;31;21;4.7;10.1
2021-10-31 22:00:00+00:00;1.498;2021;10;31;22;5.6;10.0
2021-11-01 00:00:00+00:00;1.3130000000000002;2021;11;1;0;4.3;8.9
2021-11-01 01:00:00+00:00;1.318;2021;11;1;1;4.8;8.9
2021-11-01 02:00:00+00:00;1.4;2021;11;1;2;4.6;8.2
2021-11-01 03:00:00+00:00;1.4449999999999998;2021;11;1;3;3.8;8.7
2021-11-01 04:00:00+00:00;6.01;2021;11;1;4;4.9;8.8
2021-11-01 05:00:00+00:00;5.829;2021;11;1;5;3.9;9.4
2021-11-01 06:00:00+00:00;7.529999999999999;2021;11;1;6;5.4;9.5
2021-11-01 07:00:00+00:00;8.623999999999999;2021;11;1;7;5.2;9.4
2021-11-01 08:00:00+00:00;8.309999999999999;2021;11;1;8;3.9;9.7
2021-11-01 09:00:00+00:00;8.019;2021;11;1;9;4.8;10.0
2021-11-01 10:00:00+00:00;7.581;2021;11;1;10;3.7;10.6
2021-11-01 11:00:00+00:00;7.645;2021;11;1;11;4.2;10.2
2021-11-01 12:00:00+00:00;7.797;2021;11;1;12;3.9;10.2
2021-11-01 13:00:00+00:00;7.891;2021;11;1;13;4.3;10.2
2021-11-01 14:00:00+00:00;8.426;2021;11;1;14;4.8;9.5
2021-11-01 15:00:00+00:00;8.486;2021;11;1;15;6.4;9.8
2021-11-01 16:00:00+00:00;9.113;2021;11;1;16;3.9;9.5
2021-11-01 17:00:00+00:00;8.984;2021;11;1;17;4.9;8.8
2021-11-01 18:00:00+00:00;6.508;2021;11;1;18;6.3;8.1
2021-11-01 19:00:00+00:00;1.794;2021;11;1;19;7.9;7.7
2021-11-01 20:00:00+00:00;1.394;2021;11;1;20;8.9;7.6
2021-11-01 21:00:00+00:00;1.263;2021;11;1;21;7.9;7.4
2021-11-01 22:00:00+00:00;1.075;2021;11;1;22;7.2;7.3
2021-11-01 23:00:00+00:00;0.663;2021;11;1;23;8.5;7.7
2021-11-02 00:00:00+00:00;0.365;2021;11;2;0;9.3;7.6
2021-11-02 01:00:00+00:00;0.418;2021;11;2;1;7.8;7.4
2021-11-02 02:00:00+00:00;0.343;2021;11;2;2;8.1;7.3
2021-11-02 03:00:00+00:00;0.7769999999999999;2021;11;2;3;7.1;7.0
2021-11-02 04:00:00+00:00;1.302;2021;11;2;4;7.7;6.9
2021-11-02 05:00:00+00:00;8.783;2021;11;2;5;7.5;6.9
2021-11-02 06:00:00+00:00;9.115;2021;11;2;6;7.6;6.9
2021-11-02 07:00:00+00:00;9.521;2021;11;2;7;8.5;7.0
2021-11-02 08:00:00+00:00;7.959999999999999;2021;11;2;8;8.4;7.4
2021-11-02 09:00:00+00:00;4.991;2021;11;2;9;8.7;8.0
2021-11-02 10:00:00+00:00;7.0;2021;11;2;10;7.8;8.2
2021-11-02 11:00:00+00:00;9.495;2021;11;2;11;5.9;8.4
2021-11-02 12:00:00+00:00;9.728;2021;11;2;12;6.3;8.4
2021-11-02 13:00:00+00:00;9.673;2021;11;2;13;6.2;8.3
2021-11-02 14:00:00+00:00;9.768;2021;11;2;14;7.2;8.4
2021-11-02 15:00:00+00:00;9.913;2021;11;2;15;7.0;8.4
2021-11-02 16:00:00+00:00;9.873;2021;11;2;16;6.4;8.4
2021-11-02 17:00:00+00:00;9.692;2021;11;2;17;6.0;7.9
2021-11-02 18:00:00+00:00;6.901000000000001;2021;11;2;18;4.2;7.8
2021-11-02 19:00:00+00:00;2.0940000000000003;2021;11;2;19;5.9;7.8
2021-11-02 20:00:00+00:00;1.779;2021;11;2;20;4.5;7.3
2021-11-02 21:00:00+00:00;1.915;2021;11;2;21;4.8;7.9
2021-11-02 22:00:00+00:00;1.496;2021;11;2;22;4.8;7.3
2021-11-02 23:00:00+00:00;1.595;2021;11;2;23;5.0;7.0
2021-11-03 00:00:00+00:00;1.557;2021;11;3;0;6.5;7.0
2021-11-03 01:00:00+00:00;1.496;2021;11;3;1;5.5;7.0
2021-11-03 02:00:00+00:00;1.524;2021;11;3;2;4.7;7.0
2021-11-03 03:00:00+00:00;1.579;2021;11;3;3;6.8;6.7
2021-11-03 04:00:00+00:00;1.733;2021;11;3;4;5.7;6.8
2021-11-03 05:00:00+00:00;8.118;2021;11;3;5;5.5;7.0
2021-11-03 06:00:00+00:00;9.929;2021;11;3;6;6.4;7.4
2021-11-03 07:00:00+00:00;10.55;2021;11;3;7;5.3;7.6
2021-11-03 08:00:00+00:00;10.0;2021;11;3;8;5.8;7.4
2021-11-03 09:00:00+00:00;9.996;2021;11;3;9;6.9;7.3
2021-11-03 10:00:00+00:00;9.851;2021;11;3;10;5.1;7.1
2021-11-03 11:00:00+00:00;9.878;2021;11;3;11;5.9;7.2
2021-11-03 12:00:00+00:00;10.141;2021;11;3;12;5.2;7.1
2021-11-03 13:00:00+00:00;10.146;2021;11;3;13;5.2;7.1
2021-11-03 14:00:00+00:00;10.265;2021;11;3;14;4.2;7.4
2021-11-03 15:00:00+00:00;10.859;2021;11;3;15;3.5;7.6
2021-11-03 16:00:00+00:00;11.941;2021;11;3;16;6.4;7.8
2021-11-03 17:00:00+00:00;11.926;2021;11;3;17;6.8;7.9
2021-11-03 18:00:00+00:00;10.402;2021;11;3;18;5.6;8.0
2021-11-03 19:00:00+00:00;9.555;2021;11;3;19;6.0;8.0
2021-11-03 20:00:00+00:00;6.2090000000000005;2021;11;3;20;5.4;8.1
2021-11-03 21:00:00+00:00;2.161;2021;11;3;21;3.9;8.1
2021-11-03 22:00:00+00:00;1.975;2021;11;3;22;3.3;8.3
2021-11-03 23:00:00+00:00;1.945;2021;11;3;23;2.7;8.3
2021-11-04 00:00:00+00:00;1.84;2021;11;4;0;2.4;8.3
2021-11-04 01:00:00+00:00;1.802;2021;11;4;1;3.5;8.4
2021-11-04 02:00:00+00:00;1.874;2021;11;4;2;2.4;8.2
2021-11-04 03:00:00+00:00;1.991;2021;11;4;3;3.4;8.1
2021-11-04 04:00:00+00:00;3.5520000000000005;2021;11;4;4;1.8;8.2
2021-11-04 05:00:00+00:00;10.362;2021;11;4;5;1.2;8.1
2021-11-04 06:00:00+00:00;11.938;2021;11;4;6;2.0;8.2
2021-11-04 07:00:00+00:00;12.419;2021;11;4;7;0.0;8.4
2021-11-04 08:00:00+00:00;12.421;2021;11;4;8;0.8;8.8
2021-11-04 09:00:00+00:00;12.066;2021;11;4;9;0.7;8.8
2021-11-04 10:00:00+00:00;11.247;2021;11;4;10;1.9;9.0
2021-11-04 11:00:00+00:00;10.797;2021;11;4;11;1.0;9.4
2021-11-04 12:00:00+00:00;10.797;2021;11;4;12;1.9;9.2
2021-11-04 13:00:00+00:00;10.777;2021;11;4;13;2.0;8.7
2021-11-04 14:00:00+00:00;11.179;2021;11;4;14;1.6;8.5
2021-11-04 15:00:00+00:00;12.083;2021;11;4;15;1.2;8.5
2021-11-04 16:00:00+00:00;12.483;2021;11;4;16;1.5;8.7
2021-11-04 17:00:00+00:00;11.721;2021;11;4;17;1.3;8.8
2021-11-04 18:00:00+00:00;10.229;2021;11;4;18;2.0;8.4
